
Predictions were generated on 19-Aug-2019 at 16:37:54 using AA 
 AeroAcoustics
Number of observers      :    1
Number of frequencies    :   34
     Time           	Obs1_Freq10         	Obs1_Freq12.5       	Obs1_Freq16         	Obs1_Freq20         	Obs1_Freq25         	Obs1_Freq31.5       	Obs1_Freq40         	Obs1_Freq50         	Obs1_Freq63         	Obs1_Freq80         	Obs1_Freq100        	Obs1_Freq125        	Obs1_Freq160        	Obs1_Freq200        	Obs1_Freq250        	Obs1_Freq315        	Obs1_Freq400        	Obs1_Freq500        	Obs1_Freq630        	Obs1_Freq800        	Obs1_Freq1000       	Obs1_Freq1250       	Obs1_Freq1600       	Obs1_Freq2000       	Obs1_Freq2500       	Obs1_Freq3150       	Obs1_Freq4000       	Obs1_Freq5000       	Obs1_Freq6300       	Obs1_Freq8000       	Obs1_Freq10000      	Obs1_Freq12500      	Obs1_Freq16000      	Obs1_Freq20000      
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         2.0000	  5.120310E+001	  5.017420E+001	  4.860942E+001	  4.705380E+001	  4.589478E+001	  4.519567E+001	  4.477302E+001	  4.457110E+001	  4.457596E+001	  4.477936E+001	  4.545052E+001	  4.636212E+001	  4.712749E+001	  4.715734E+001	  4.636813E+001	  4.512366E+001	  4.349429E+001	  4.173361E+001	  3.990296E+001	  3.787334E+001	  3.591651E+001	  3.391153E+001	  3.163014E+001	  2.947502E+001	  2.720286E+001	  2.470307E+001	  2.194316E+001	  1.919353E+001	  1.616724E+001	  1.284739E+001	  9.569293E+000	  6.115860E+000	  2.078951E+000	 -1.784819E+000
         2.1000	  5.047294E+001	  4.956117E+001	  4.806659E+001	  4.647667E+001	  4.539030E+001	  4.491458E+001	  4.474555E+001	  4.467028E+001	  4.461850E+001	  4.480355E+001	  4.555198E+001	  4.646688E+001	  4.721769E+001	  4.729192E+001	  4.654126E+001	  4.521849E+001	  4.354210E+001	  4.178057E+001	  3.990522E+001	  3.784446E+001	  3.588397E+001	  3.387254E+001	  3.157936E+001	  2.940994E+001	  2.711835E+001	  2.459057E+001	  2.179344E+001	  1.900303E+001	  1.593032E+001	  1.256090E+001	  9.238635E+000	  5.746931E+000	  1.678517E+000	 -2.201819E+000
         2.2000	  4.791204E+001	  4.798034E+001	  4.822536E+001	  4.758885E+001	  4.607726E+001	  4.500328E+001	  4.466591E+001	  4.453760E+001	  4.447677E+001	  4.510126E+001	  4.612900E+001	  4.705847E+001	  4.764392E+001	  4.756732E+001	  4.673328E+001	  4.531032E+001	  4.359460E+001	  4.181028E+001	  3.985415E+001	  3.778040E+001	  3.581474E+001	  3.379357E+001	  3.148491E+001	  2.930001E+001	  2.699057E+001	  2.444055E+001	  2.161762E+001	  1.880163E+001	  1.570101E+001	  1.230118E+001	  8.949598E+000	  5.429022E+000	  1.331683E+000	 -2.569558E+000
         2.3000	  4.381883E+001	  4.270473E+001	  4.176235E+001	  4.134978E+001	  4.153236E+001	  4.219161E+001	  4.321666E+001	  4.386354E+001	  4.427515E+001	  4.514185E+001	  4.629313E+001	  4.732497E+001	  4.789199E+001	  4.770880E+001	  4.675018E+001	  4.525945E+001	  4.352292E+001	  4.169829E+001	  3.965130E+001	  3.756625E+001	  3.558959E+001	  3.355544E+001	  3.123359E+001	  2.903882E+001	  2.671852E+001	  2.415516E+001	  2.131823E+001	  1.849049E+001	  1.537969E+001	  1.197192E+001	  8.615713E+000	  5.093760E+000	  9.993367E-001	 -2.894830E+000
         2.4000	  4.441046E+001	  4.306296E+001	  4.171083E+001	  4.068476E+001	  4.004058E+001	  3.992959E+001	  4.044051E+001	  4.140548E+001	  4.276922E+001	  4.436363E+001	  4.581997E+001	  4.704644E+001	  4.780522E+001	  4.771274E+001	  4.677368E+001	  4.527033E+001	  4.352503E+001	  4.166151E+001	  3.960432E+001	  3.752321E+001	  3.554488E+001	  3.350798E+001	  3.118171E+001	  2.897766E+001	  2.664094E+001	  2.405452E+001	  2.118992E+001	  1.833512E+001	  1.519798E+001	  1.176871E+001	  8.401478E+000	  4.880063E+000	  8.007070E-001	 -3.068508E+000
         2.5000	  4.518472E+001	  4.369839E+001	  4.220181E+001	  4.107133E+001	  4.031649E+001	  4.010418E+001	  4.054019E+001	  4.145342E+001	  4.276433E+001	  4.431200E+001	  4.575259E+001	  4.700860E+001	  4.783312E+001	  4.784088E+001	  4.705450E+001	  4.565486E+001	  4.388004E+001	  4.215168E+001	  4.016541E+001	  3.811334E+001	  3.616064E+001	  3.414726E+001	  3.183650E+001	  2.963932E+001	  2.730822E+001	  2.472656E+001	  2.186276E+001	  1.900278E+001	  1.585267E+001	  1.240051E+001	  9.002643E+000	  5.442216E+000	  1.312203E+000	 -2.606355E+000
         2.6000	  4.593583E+001	  4.441513E+001	  4.286817E+001	  4.164627E+001	  4.073162E+001	  4.033460E+001	  4.060465E+001	  4.140252E+001	  4.261795E+001	  4.409969E+001	  4.552253E+001	  4.679452E+001	  4.768240E+001	  4.782691E+001	  4.726759E+001	  4.606981E+001	  4.434418E+001	  4.271101E+001	  4.085947E+001	  3.884291E+001	  3.692183E+001	  3.494104E+001	  3.266270E+001	  3.049267E+001	  2.819104E+001	  2.564257E+001	  2.281175E+001	  1.997732E+001	  1.684439E+001	  1.339562E+001	  9.983963E+000	  6.391115E+000	  2.203904E+000	 -1.782104E+000
         2.7000	  4.646531E+001	  4.491911E+001	  4.335060E+001	  4.208638E+001	  4.106501E+001	  4.051262E+001	  4.063080E+001	  4.132634E+001	  4.247377E+001	  4.389611E+001	  4.528726E+001	  4.654444E+001	  4.749831E+001	  4.769932E+001	  4.725372E+001	  4.622368E+001	  4.458721E+001	  4.297900E+001	  4.124197E+001	  3.924379E+001	  3.733397E+001	  3.537152E+001	  3.312104E+001	  3.098193E+001	  2.871863E+001	  2.621907E+001	  2.344594E+001	  2.066845E+001	  1.759432E+001	  1.420208E+001	  1.083481E+001	  7.273689E+000	  3.102386E+000	 -8.886462E-001
         2.8000	  5.052207E+001	  4.979810E+001	  4.843461E+001	  4.724104E+001	  4.631783E+001	  4.558420E+001	  4.484774E+001	  4.420109E+001	  4.403742E+001	  4.449588E+001	  4.535509E+001	  4.645456E+001	  4.746681E+001	  4.772864E+001	  4.728351E+001	  4.633218E+001	  4.484455E+001	  4.327915E+001	  4.158586E+001	  3.964430E+001	  3.774660E+001	  3.579685E+001	  3.356650E+001	  3.145178E+001	  2.921753E+001	  2.675324E+001	  2.402171E+001	  2.128637E+001	  1.825788E+001	  1.491322E+001	  1.158852E+001	  8.065323E+000	  3.926861E+000	 -4.572699E-002
         2.9000	  5.194744E+001	  5.130102E+001	  4.995660E+001	  4.875206E+001	  4.779844E+001	  4.697694E+001	  4.608354E+001	  4.528196E+001	  4.492235E+001	  4.518095E+001	  4.588957E+001	  4.688427E+001	  4.779092E+001	  4.793058E+001	  4.735184E+001	  4.636683E+001	  4.501800E+001	  4.358385E+001	  4.191900E+001	  4.003615E+001	  3.815697E+001	  3.622018E+001	  3.400168E+001	  3.190227E+001	  2.969081E+001	  2.725927E+001	  2.457214E+001	  2.188756E+001	  1.891948E+001	  1.564255E+001	  1.238160E+001	  8.917357E+000	  4.832099E+000	  8.919906E-001
